aid	name	lat1	lat2	lng1	lng2	alt
32476	田沢湖	39	41.9	140	43.9	230
32496	大正寺	39	31.6	140	14	20
32551	大曲	39	29.4	140	29.7	30
32571	本荘	39	21.6	140	3.3	11
32581	東由利	39	18.3	140	17.3	117
32596	横手	39	19.2	140	33.3	59
32616	にかほ	39	15.3	139	54.8	7
32626	矢島	39	14.1	140	8.2	46
32681	笹子	39	6.2	140	17.6	200
32691	湯沢	39	11.2	140	27.8	74
32701	東成瀬	39	10.7	140	38.9	191
32771	湯の岱	38	57.6	140	31.7	335
33006	種市	40	24.2	141	42	70
33026	軽米	40	19	141	28.4	153
33071	二戸	40	17.9	141	17.9	87
33086	大野	40	16.9	141	40	200
33136	山形	40	8.9	141	34.3	290
33146	久慈	40	10.1	141	44.9	13
33166	荒屋	40	6.2	141	3	290
33176	奥中山	40	3.6	141	13.5	430
33186	葛巻	40	2.4	141	27.4	418
33201	下戸鎖	40	5	141	42.7	239
33206	普代	40	0.2	141	53	8
33226	岩手松尾	39	57.1	141	3.9	275
33296	好摩	39	52.1	141	10	205
33326	岩泉	39	50.8	141	47.7	105
33336	小本	39	50.8	141	57.8	3
33351	葛根田	39	46.6	140	56.7	350
33361	滝沢	39	46.8	141	5.8	210
33371	薮川	39	47	141	19.7	680
33421	雫石	39	41.8	140	58.5	195
33431	盛岡	39	41.9	141	9.9	155
33441	区界	39	39	141	21.2	760
33461	刈屋	39	38.5	141	46.4	140
33472	宮古	39	38.8	141	57.9	43
33501	紫波	39	32.8	141	7.6	125
33526	川井	39	35.9	141	40.9	192
33561	沢内	39	28.8	140	47.8	327
33566	豊沢	39	28.8	140	58.1	300
33576	花巻	39	25.7	141	8.1	90
33581	大迫	39	28.2	141	16.7	150
33596	附馬牛	39	27.4	141	30.4	440
33611	大槌	39	26.3	141	48.4	120
33616	山田	39	27	141	57.4	24
33631	湯田	39	18.6	140	46.6	250
33671	遠野	39	20.3	141	32.6	275
33686	新町	39	21.6	141	54.4	2
33711	金ヶ崎	39	13.5	141	0.9	170
33716	北上	39	17.3	141	6.6	61
33726	米里	39	14	141	18.6	170
33751	釜石	39	16.2	141	52.7	5
33776	若柳	39	8.4	141	3.8	97
33781	江刺	39	11	141	9.7	42
33801	住田	39	8.5	141	34.4	80
33831	祭畤	39	0.7	140	51.9	350
33841	衣川	39	3	141	2.7	75
33856	大東	39	2.3	141	17.8	140
33871	陸前高田	39	1.5	141	37.8	61
33877	大船渡	39	3.8	141	42.8	37
33911	一関	38	56	141	7.5	32
33921	千厩	38	55.3	141	19.8	120
34012	駒ノ湯	38	54.8	140	49.7	525
34026	気仙沼	38	54.4	141	33.4	62
34056	鴬沢	38	48.3	140	56.9	33
34096	川渡	38	44.6	140	45.6	170
34111	築館	38	44.1	141	0.3	25
34171	米山	38	37.6	141	11.3	5
34186	志津川	38	40.9	141	26.9	39
34206	加美	38	34.3	140	43.6	195
34231	桃生	38	33.6	141	14.7	5
34262	泉ケ岳	38	24.4	140	43.3	630
34266	大衡	38	28.4	140	53.3	57
34276	鹿島台	38	27.6	141	5.5	3
34286	東松島	38	25.6	141	12.8	4
34292	石巻	38	25.6	141	17.9	43
34296	女川	38	27.2	141	26.4	35
34311	新川	38	18.2	140	38.2	265
34331	塩釜	38	20.3	141	0.8	105
34361	江ノ島	38	23.9	141	35.8	40
34392	仙台	38	15.7	140	53.8	39
34431	岩沼	38	6.4	140	52.6	4
34436	名取	38	8.3	140	55	2
34461	白石	38	0.9	140	36.7	86
34462	蔵王	38	7.6	140	40.8	112
34471	亘理	38	1.5	140	51.5	4
34506	丸森	37	55.9	140	46.7	18
34526	筆甫	37	49.6	140	43.7	305
35002	飛島	39	11	139	32.6	58
35052	酒田	38	54.5	139	50.6	3
35061	上草津	38	59.7	140	1.7	178
35071	差首鍋	38	55.1	140	12	88
35086	浜中	38	48.7	139	47.2	22
35116	金山	38	52.7	140	19.9	170
35141	鶴岡	38	44.1	139	49.7	16
35146	狩川	38	48	139	58.4	17
35162	新庄	38	45.4	140	18.7	105
35171	瀬見	38	45.3	140	24.8	150
35176	向町	38	45.5	140	31	212
35201	櫛引	38	40.3	139	50.9	33
35216	肘折	38	36.4	140	9.8	330
35231	尾花沢	38	36.5	140	24.7	106
35246	鼠ケ関	38	34	139	33.1	18
35256	荒沢	38	30.4	139	46.9	273
35332	村山	38	27.6	140	20.9	80
35334	東根	38	24.7	140	22.2	105
35361	大井沢	38	23.4	139	59.6	440
35376	左沢	38	22.2	140	11.5	133
35426	山形	38	15.3	140	20.7	153
35456	長井	38	6.3	140	0.9	210
35466	上山中山	38	7	140	12.8	270
35486	小国	38	4.7	139	44.1	140
35511	高畠	38	0.2	140	12.4	220
35537	中津川	37	54.6	139	50.6	390
35541	高峰	37	59.9	139	57.4	250
35552	米沢	37	54.7	140	8.6	245
36056	茂庭	37	53.5	140	26.2	200
36066	梁川	37	51.1	140	35.3	43
36081	新地	37	52.5	140	55.1	10
36106	桧原	37	43.3	140	3.5	824
36126	福島	37	45.5	140	28.2	67
36151	相馬	37	47	140	55.5	9
36176	喜多方	37	39.5	139	51.8	212
36196	鷲倉	37	40.1	140	15.6	1220
36221	飯舘	37	39.9	140	43.6	460
36231	原町	37	38.3	140	59	17
36251	西会津	37	35.3	139	39.4	165
36276	猪苗代	37	33.1	140	6.5	519
36291	二本松	37	35	140	25.8	235
36307	津島	37	33.6	140	45.2	400
36342	金山	37	28.4	139	31.7	296
36361	若松	37	29.3	139	54.6	212
36391	船引	37	26.1	140	34.6	421
36411	浪江	37	29.5	140	57.9	47
36426	只見	37	20.6	139	18.8	377
36461	湖南	37	23.3	140	5.4	536
36476	郡山	37	22.1	140	19.8	249
36501	川内	37	20.2	140	48.5	410
36511	富岡	37	20.8	141	1	50
36536	南郷	37	15.9	139	32.2	494
36562	湯本	37	16.6	140	3.8	640
36571	長沼	37	17.3	140	13.1	317
36581	玉川	37	13.6	140	25.6	372
36591	小野新町	37	17.2	140	37.5	433
36611	広野	37	14	141	0	43
36641	田島	37	12.4	139	47.7	544
36667	白河	37	7.9	140	12.9	355
36676	石川	37	8.8	140	27.6	290
36716	桧枝岐	37	0.6	139	22.5	973
36726	舘岩	37	5.5	139	31.9	690
36766	古殿	37	5.4	140	33.6	347
36781	平	37	3.9	140	52.6	12
36821	東白川	36	56.3	140	24.5	183
36836	山田	36	56	140	44	25
36846	小名浜	36	56.8	140	54.2	3
40041	花園	36	52.1	140	38.2	370
40046	北茨城	36	50	140	46.3	5
40061	大子	36	46.7	140	20.7	120
40066	徳田	36	46.7	140	28.9	270
40076	大能	36	44.6	140	35.6	395
40081	高萩	36	42.4	140	43	4
40091	常陸大宮	36	36.4	140	19.5	95
40126	中野	36	30.9	140	28.4	17
40136	日立	36	34.8	140	38.7	34
40181	門井	36	20	140	2	40
40191	笠間	36	23.7	140	14.4	72
40201	水戸	36	22.8	140	28	29
40221	古河	36	12.1	139	43	20
40231	下館	36	16.9	139	59.3	24
40241	柿岡	36	14	140	11.3	27
40251	美野里	36	14.2	140	19.5	25
40281	下妻	36	10.1	139	56.7	20
40311	鉾田	36	10.1	140	31.6	32
40326	坂東	36	2.1	139	53.6	16
40336	つくば	36	3.4	140	7.5	25
40341	土浦	36	6.2	140	13.2	26
40391	江戸崎	35	57.6	140	19.2	25
40406	鹿嶋	35	57.8	140	37.3	37
40426	龍ケ崎	35	53.4	140	12.7	4
41011	那須高原	37	7.4	140	2.1	749
41076	五十里	36	55.3	139	41.7	620
41091	黒磯	36	58.9	140	1.1	343
41116	土呂部	36	53.5	139	34.1	925
41141	大田原	36	50.4	140	2.1	188
41166	奥日光	36	44.3	139	30	1292
41171	今市	36	43.6	139	40.6	414
41181	塩谷	36	45.4	139	53	225
41211	足尾	36	38.8	139	26.9	650
41241	高根沢	36	36.4	139	59.9	148
41247	那須烏山	36	38.5	140	7	82
41271	鹿沼	36	35.5	139	44.1	165
41277	宇都宮	36	32.9	139	52.1	119
41311	葛生	36	25.9	139	35.4	120
41331	真岡	36	28.6	139	59.2	91
41356	足利	36	18.1	139	28.4	28
41361	佐野	36	21.8	139	34.2	68
41371	栃木	36	22.4	139	42.2	65
41376	小山	36	20.3	139	49.8	44
42046	藤原	36	51.8	139	3.5	700
42091	みなかみ	36	48	138	59.5	531
42106	片品	36	46.3	139	14.3	860
42121	草津	36	37	138	35.5	1223
42146	沼田	36	40.1	139	1.3	390
42186	中之条	36	35.2	138	51	354
42221	田代	36	27.8	138	27.8	1230
42241	榛名山	36	28.3	138	52.4	1088
42251	前橋	36	24.3	139	3.6	112
42261	黒保根	36	30.1	139	17	285
42266	桐生	36	24.6	139	19.5	117
42286	上里見	36	22.6	138	53.7	183
42302	伊勢崎	36	19.9	139	9.9	64
42326	西野牧	36	14.7	138	42.4	375
42341	藤岡	36	14.5	139	4.2	95
42366	館林	36	14	139	31.9	21
42396	神流	36	6.5	138	53.8	357
43051	寄居	36	6.3	139	11	128
43056	熊谷	36	9	139	22.8	30
43091	上吉田	36	3.2	138	58.8	275
43121	鴻巣	36	3.9	139	31.3	15
43126	久喜	36	5.2	139	38.1	12
43151	三峰	35	55.6	138	55.4	975
43156	秩父	35	59.4	139	4.4	232
43157	浦山	35	55.2	139	4.2	400
43162	ときがわ	35	59.4	139	12.4	295
43171	鳩山	35	59.1	139	20.1	44
43231	飯能	35	50.3	139	19.3	84
43241	さいたま	35	52.5	139	35.2	8
43256	越谷	35	53	139	45.4	3
43266	所沢	35	46.4	139	24.8	119
44046	小河内	35	47.5	139	3	530
44051	小沢	35	44.1	139	7.4	420
44056	青梅	35	47.3	139	18.7	155
44112	八王子	35	40	139	19	123
44116	府中	35	41	139	29	59
44126	世田谷	35	37.6	139	37.2	35
44132	東京	35	41.5	139	45	25
44136	江戸川臨海	35	38.3	139	51.8	5
44166	羽田	35	33.2	139	46.8	6
44172	大島	34	44.9	139	21.7	74
44207	新島	34	22.1	139	16.1	29
44216	神津島	34	11.3	139	8	138
44226	三宅島	34	7.4	139	31.2	38
44228	三宅坪田	34	4.4	139	33.6	20
44262	八重見ヶ原	33	6.9	139	47.1	92
44263	八丈島	33	7.3	139	46.7	151
44301	父島	27	5.5	142	11.4	3
44316	母島	26	38.1	142	9.7	32
44356	南鳥島	24	17.3	153	59	7
45061	我孫子	35	51.8	140	6.6	20
45081	香取	35	51.5	140	30.1	37
45086	東庄	35	47.7	140	40.9	52
45106	船橋	35	42.7	140	2.6	28
45116	佐倉	35	43.7	140	12.7	5
45121	成田	35	45.8	140	23.1	41
45147	銚子	35	44.3	140	51.4	20
45181	横芝光	35	39.4	140	28.8	6
45212	千葉	35	36.1	140	6.2	3
45261	茂原	35	25	140	18.6	9
45282	木更津	35	21.7	139	56.4	60
45291	牛久	35	23.8	140	8.9	30
45326	坂畑	35	14.1	140	5.9	120
45331	大多喜	35	15.1	140	12.9	70
45346	鋸南	35	7.3	139	50.2	10
45361	鴨川	35	6.7	140	6	5
45371	勝浦	35	9	140	18.7	12
45401	館山	34	59.2	139	51.9	6
46001	相模湖	35	36.8	139	11.6	188
46046	相模原中央	35	34.3	139	22.2	149
46061	日吉	35	33.1	139	39	57
46076	丹沢湖	35	24.6	139	2.6	330
46091	海老名	35	26	139	23.2	18
46106	横浜	35	26.3	139	39.1	39
46136	平塚	35	20.7	139	18.3	20
46141	辻堂	35	19.2	139	27	5
46161	箱根	35	13.3	139	2.5	855
46166	小田原	35	16.6	139	9.3	14
46211	三浦	35	10.7	139	37.8	42
48031	野沢温泉	36	54.7	138	26.5	576
48061	信濃町	36	48.5	138	11.8	685
48066	飯山	36	52.5	138	22.5	313
48097	小谷	36	49.3	137	55.8	550
48141	白馬	36	41.9	137	51.7	703
48146	鬼無里	36	41.3	137	57.9	778
48156	長野	36	39.7	138	11.5	418
48172	笠岳	36	40	138	27.4	1490
48191	大町	36	31.4	137	49.9	784
48196	信州新町	36	32.9	137	59.8	509
48216	菅平	36	31.9	138	19.5	1253
48247	聖高原	36	29.2	138	4.1	985
48256	上田	36	24	138	15.9	502
48296	穂高	36	20.6	137	52.9	540
48321	東御	36	23	138	23	958
48331	軽井沢	36	20.5	138	32.8	999
48346	上高地	36	14.9	137	38	1510
48361	松本	36	14.8	137	58.2	610
48363	松本今井	36	10	137	55.3	658
48371	鹿教湯	36	18.1	138	8.2	721
48381	立科	36	16.3	138	18.8	715
48386	佐久	36	14.8	138	28.6	683
48436	白樺湖	36	6.3	138	13.7	1440
48466	奈川	36	5.3	137	41	1068
48491	諏訪	36	2.7	138	6.5	760
48516	北相木	36	4.3	138	36.7	1185
48531	開田高原	35	56.3	137	36.1	1130
48541	木曽平沢	35	59	137	50.1	900
48546	辰野	35	58.9	137	59	729
48561	原村	35	58.2	138	13.2	1017
48571	野辺山	35	56.9	138	28.3	1350
48601	御嶽山	35	52.3	137	30.2	2195
48606	木曽福島	35	50.4	137	41.3	750
48621	伊那	35	49.5	137	57.3	633
48681	宮田高原	35	46.4	137	53.1	1660
48691	杉島	35	43.6	138	5.6	905
48716	須原	35	41.9	137	41.5	535
48717	南木曽	35	36.6	137	37.2	560
48731	飯島	35	39.2	137	53.9	728
48737	大鹿	35	33.4	138	2.4	718
48767	飯田	35	31.4	137	49.3	516
48826	浪合	35	22.4	137	41.5	940
48836	阿南	35	18.8	137	48.7	610
48841	南信濃	35	19.3	137	55.9	407
49036	大泉	35	51.7	138	23.2	867
49052	乙女湖	35	48.4	138	39.3	1465
49086	韮崎	35	41.6	138	26.9	341
49142	甲府	35	40	138	33.2	273
49151	勝沼	35	39.8	138	43.5	394
49161	大月	35	36.5	138	56.3	364
49196	古関	35	31.7	138	36.9	552
49236	切石	35	28	138	26.5	226
49251	河口湖	35	30	138	45.6	860
49256	山中	35	26.2	138	50.2	992
49316	南部	35	17.3	138	26.7	141
50056	白糸	35	18.7	138	34.7	530
50066	富士山	35	21.6	138	43.6	3775
50106	井川	35	13	138	13.3	755
50111	梅ケ島	35	14.2	138	20.5	430
50136	御殿場	35	18.3	138	55.6	472
50196	富士	35	11.1	138	39.8	66
50206	三島	35	6.8	138	55.5	21
50226	佐久間	35	3.4	137	45.7	150
50241	川根本町	35	6.1	138	7.7	290
50247	鍵穴	35	2.9	138	14.8	160
50261	清水	35	3.2	138	31.3	3
50281	網代	35	2.7	139	5.5	67
50296	熊	34	57.5	137	44	375
50317	高根山	34	58.5	138	11.8	415
50331	静岡	34	58.5	138	24.2	14
50371	三ヶ日	34	48.1	137	33.4	2
50386	天竜	34	53.4	137	48.8	61
50391	三倉	34	53.7	137	56.4	114
50416	土肥	34	52.6	138	45.7	92
50426	湯ケ島	34	54	138	55.5	165
50427	天城山	34	52.3	139	1.4	1066
50456	浜松	34	45.2	137	42.7	46
50466	掛川	34	46.1	137	59.7	32
50476	菊川牧之原	34	47.1	138	8.3	191
50477	静岡空港	34	47.7	138	11.3	132
50491	松崎	34	45.3	138	47	4
50506	稲取	34	46.9	139	2.9	130
50536	磐田	34	41.5	137	52.8	3
50551	御前崎	34	36.2	138	12.7	45
50561	石廊崎	34	36.2	138	50.5	52
51011	一宮	35	17.9	136	51.2	11
51031	愛西	35	13	136	41.9	5
51056	小原	35	13.7	137	17.1	290
51071	稲武	35	12.7	137	30.4	505
51077	茶臼山	35	13.2	137	39.6	1216
51096	蟹江	35	8.2	136	47.5	2
51106	名古屋	35	10	136	57.9	51
51116	豊田	35	7.9	137	10.6	75
51192	阿蔵	35	4.7	137	24.8	613
51226	岡崎	34	55.1	137	11.6	47
51241	作手	34	58.6	137	25.5	532
51247	新城	34	54.4	137	31.1	53
51261	セントレア	34	51.5	136	48.3	4
51271	一色	34	48.7	137	1.7	12
51281	蒲郡	34	50.7	137	13	55
51311	南知多	34	44.4	136	56.3	16
51331	豊橋	34	45	137	20.5	3
51346	伊良湖	34	37.7	137	5.6	6
51356	田原	34	37.6	137	13.3	45
52041	河合	36	18.3	137	6	471
52051	神岡	36	19.3	137	18.5	455
52081	白川	36	16.4	136	53.8	478
52111	栃尾	36	14.9	137	30.2	765
52131	御母衣	36	8.8	136	54.5	640
52137	清見	36	10.8	137	2.7	740
52146	高山	36	9.3	137	15.2	560
52152	丹生川	36	11.2	137	22.3	910
52173	ひるがの	36	0.6	136	53.6	885
52181	六厩	36	3.6	137	2.1	1015
52192	船山	36	2.1	137	15.6	880
52196	宮之前	36	0.9	137	23.3	930
52221	長滝	35	55.4	136	49.9	430
52286	萩原	35	53.3	137	12.4	425
52321	関市板取	35	43.4	136	47	351
52331	八幡	35	45.4	136	58.7	250
52346	宮地	35	45.8	137	17.3	450
52381	樽見	35	38.3	136	36.1	190
52406	金山	35	39.7	137	9.6	233
52421	付知	35	39.7	137	25.6	461
52461	美濃	35	33.3	136	54.6	68
52476	伽藍	35	30.9	137	13.8	650
52482	黒川	35	35.9	137	19.1	517
52511	揖斐川	35	29.1	136	34	45
52536	美濃加茂	35	26.7	137	0.3	74
52556	恵那	35	26.8	137	24.2	315
52557	中津川	35	28.6	137	29.2	378
52571	関ケ原	35	21.8	136	28	130
52581	大垣	35	20.8	136	37.2	6
52586	岐阜	35	24	136	45.7	13
52606	多治見	35	20.8	137	6.5	120
53016	北勢	35	8.6	136	32.3	125
53041	桑名	35	3	136	41.6	3
53061	四日市	34	56.4	136	34.8	55
53091	亀山	34	52.2	136	27.2	70
53112	上野	34	45.7	136	8.5	159
53121	笠取山	34	43.5	136	18.5	810
53133	津	34	44	136	31.1	3
53141	名張	34	37.6	136	6.5	226
53151	白山	34	37.5	136	19.3	60
53196	小俣	34	31.7	136	39.9	10
53231	粥見	34	26.9	136	23.4	120
53257	鳥羽	34	28.9	136	49.5	2
53287	藤坂峠	34	19.4	136	29.3	560
53296	南伊勢	34	20.7	136	40.9	6
53321	宮川	34	16.7	136	12.5	205
53378	尾鷲	34	4.1	136	11.6	15
53401	熊野新鹿	33	55.9	136	8.3	23
53416	御浜	33	51.1	135	58.8	130
54041	弾崎	38	19.8	138	30.7	58
54056	高根	38	19.8	139	36.2	85
54086	村上	38	13.6	139	28.7	10
54097	三面	38	14.8	139	36.3	45
54157	相川	38	1.7	138	14.4	6
54166	両津	38	4.4	138	26.4	2
54181	中条	38	3.6	139	24.5	27
54191	下関	38	5.5	139	33.8	33
54232	新潟	37	53.6	139	1.1	4
54236	松浜	37	57.3	139	6.7	1
54271	羽茂	37	50.5	138	18.8	11
54296	新津	37	47.5	139	5.2	3
54311	赤谷	37	50.1	139	24.9	135
54341	巻	37	46.1	138	54.8	2
54387	寺泊	37	38.4	138	46	44
54396	三条	37	38.4	138	57.3	9
54406	村松	37	41.8	139	11.3	25
54421	津川	37	40.3	139	26.8	100
54462	宮寄上	37	34.8	139	8.4	125
54472	室谷	37	33	139	22.2	200
54501	長岡	37	27	138	49.4	23
54506	栃尾	37	28.5	138	59.5	83
